latitude,longitude,area_km2
21.062086,105.82592,3.230587
2.995279,101.53738,3.2577496
8.199677,-62.88651,626.1171
24.856709,-107.38986,0.007795749
11.845279,102.838356,80.96455
20.565784,-103.3711,0.1477698
32.78217,-79.94152,0.07790539
14.472819,80.16611,11.718241
43.4331,-1.564218,0.017990818
10.661737,-61.525158,1.245167
43.83998,10.719172,8.254596
0.3953034,117.347336,333.12668
42.369328,-8.125582,0.24556936
-26.925146,-49.06306,0.031172482
57.153572,-2.287499,1.6623563
0.8630662,123.54228,2.6218388
-3.4649415,114.40426,47.091038
-6.8614345,110.77407,0.25127548
48.880215,2.705617,0.012762088
44.70015,8.846977,0.0053802016
33.40948,126.893684,8.164007
25.422226,84.392555,0.022289302
13.173768,79.61231,10.518259
9.934537,76.35754,18.146406
0.8663005,99.61372,227.98482
15.163798,102.40288,34.82293
19.805162,105.784424,153.27219
53.6909,-2.4699397,25.2572
26.504667,87.11808,6.440399
35.878963,127.112595,8.8753605
43.168358,-78.69574,22.660475
10.786974,106.73477,3.279479
22.418993,90.55638,2.4654925
29.839819,103.80195,0.012822421
44.05316,22.629786,0.6238667
25.694273,86.70787,0.02223985
17.208612,73.27196,5.3266373
43.720337,10.947687,11.278516
5.575692,-0.2441677,1.0057073
25.224016,86.92194,0.30309886
14.760132,-17.441431,3.0550897
-6.2765102,106.88861,0.035837088
22.535742,88.35514,0.023363788
-14.301468,-170.71823,140.63304
13.157098,80.223495,0.9911434
25.562437,-103.48888,0.081811555
11.824545,79.42444,2.5892768
56.410694,-4.313996,0.013747071
26.331621,84.214386,0.75750655
25.795134,80.39949,0.04917886
14.8487,120.28159,1.3415498
23.217764,113.50793,485.0365
3.566327,98.687225,0.026518064
-2.215663,113.90638,45.12196
41.52081,32.10242,2.0012648
37.591053,-121.88411,72.19009
-6.5208254,107.46283,4.522039
16.097082,108.2283,4.2834764
-34.046806,151.07935,411.98648
44.670067,10.639033,0.037786864
35.723366,-5.803092,0.16912587
-23.136145,-64.317665,13.884341
